GDEKT;GDENR;GDENAME;VERSION;LINKDOC;LINKDOC_PRESENT;DOWNLOADED_PDF_VALID;MUNICIPALITY_EXISTS;LINK_VALID;METADATA_EQUAL;METADATA_ORIGINAL;METADATA_DOWNLOADEDFILE;HASH_EQUAL;CRAWLED_LINK;CRAWLED_LINK_SAME
ZH;54;Dietlikon;20240511;https://oerebdocs.zh.ch/getDoc?docid=4027;True;True;True;True;True;creationDate: 2021-12-09 10:15:25, modifcationDate: 2021-12-09 10:15:25, author: Philipp Schneider, size: 1379990;creationDate: 2021-12-09 10:15:25, modifcationDate: 2021-12-09 10:15:25, author: Philipp Schneider, size: 1379990;True;https://oerebdocs.zh.ch/getDoc?docid=4027;True
ZH;55;Eglisau;20240511;https://oerebdocs.zh.ch/getDoc?docid=9114;True;True;True;True;True;creationDate: 2015-10-01 09:43:43, modifcationDate: 2017-12-06 12:52:55, author: Martin Hermann, size: 1126066;creationDate: 2015-10-01 09:43:43, modifcationDate: 2017-12-06 12:52:55, author: Martin Hermann, size: 1126066;True;https://oerebdocs.zh.ch/getDoc?docid=9114;True
ZH;56;Embrach;20240511;https://oerebdocs.zh.ch/getDoc?docid=6884;True;True;True;True;True;creationDate: 2022-11-28 20:51:17, modifcationDate: 2022-11-28 20:51:40, author: None, size: 131107;creationDate: 2022-11-28 20:51:17, modifcationDate: 2022-11-28 20:51:40, author: None, size: 131107;True;https://oerebdocs.zh.ch/getDoc?docid=6884;True
ZH;57;Freienstein-Teufen;20240511;https://oerebdocs.zh.ch/getDoc?docid=7865;True;True;True;True;True;creationDate: 2012-12-04 10:45:36, modifcationDate: 2017-06-12 13:15:41, author: None, size: 684715;creationDate: 2012-12-04 10:45:36, modifcationDate: 2017-06-12 13:15:41, author: None, size: 684715;True;https://oerebdocs.zh.ch/getDoc?docid=7865;True
ZH;58;Glattfelden;20240511;https://oerebdocs.zh.ch/getDoc?docid=8932;True;True;True;True;True;creationDate: 2017-06-30 08:39:16, modifcationDate: 2017-11-14 10:31:13, author: Luzian Caduff, size: 2017641;creationDate: 2017-06-30 08:39:16, modifcationDate: 2017-11-14 10:31:13, author: Luzian Caduff, size: 2017641;True;https://oerebdocs.zh.ch/getDoc?docid=8932;True
ZH;59;Hochfelden;20240511;https://oerebdocs.zh.ch/getDoc?docid=7862;True;True;True;True;True;creationDate: 2012-07-16 07:04:10, modifcationDate: 2021-11-25 09:40:40, author: sandrina.hartmann, size: 310237;creationDate: 2012-07-16 07:04:10, modifcationDate: 2021-11-25 09:40:40, author: sandrina.hartmann, size: 310237;True;https://oerebdocs.zh.ch/getDoc?docid=7862;True
ZH;60;Höri;20240511;https://oerebdocs.zh.ch/getDoc?docid=8901;True;True;True;True;True;creationDate: 2024-01-30 09:08:29, modifcationDate: 2024-01-30 09:08:29, author: Daniel Christoffel, size: 260129;creationDate: 2024-01-30 09:08:29, modifcationDate: 2024-01-30 09:08:29, author: Daniel Christoffel, size: 260129;True;https://oerebdocs.zh.ch/getDoc?docid=8901;True
ZH;61;Hüntwangen;20240511;https://oerebdocs.zh.ch/getDoc?docid=11613;True;True;True;True;True;creationDate: 2017-11-20 16:28:46, modifcationDate: 2018-11-20 16:54:55, author: Rebekka Manz, size: 751096;creationDate: 2017-11-20 16:28:46, modifcationDate: 2018-11-20 16:54:55, author: Rebekka Manz, size: 751096;True;https://oerebdocs.zh.ch/getDoc?docid=11613;True
ZH;62;Kloten;20240511;https://oerebdocs.zh.ch/getDoc?docid=5484;True;True;True;True;True;creationDate: 2019-03-07 07:36:32, modifcationDate: 2019-03-07 07:36:33, author: None, size: 317019;creationDate: 2019-03-07 07:36:32, modifcationDate: 2019-03-07 07:36:33, author: None, size: 317019;True;https://oerebdocs.zh.ch/getDoc?docid=5484;True
ZH;63;Lufingen;20240511;https://oerebdocs.zh.ch/getDoc?docid=11616;True;True;True;True;True;creationDate: 2007-02-16 13:21:17, modifcationDate: 2018-08-16 15:22:50, author: Sandra Herzig, size: 85135;creationDate: 2007-02-16 13:21:17, modifcationDate: 2018-08-16 15:22:50, author: Sandra Herzig, size: 85135;True;https://oerebdocs.zh.ch/getDoc?docid=11616;True
ZH;64;Nürensdorf;20240511;https://oerebdocs.zh.ch/getDoc?docid=7863;True;True;True;True;True;creationDate: 2023-01-24 13:43:45, modifcationDate: 2023-01-24 13:45:32, author: Rolf Keller, size: 338109;creationDate: 2023-01-24 13:43:45, modifcationDate: 2023-01-24 13:45:32, author: Rolf Keller, size: 338109;True;https://oerebdocs.zh.ch/getDoc?docid=7863;True
ZH;65;Oberembrach;20240511;https://oerebdocs.zh.ch/getDoc?docid=6883;True;True;True;True;False;creationDate: 2013-12-13 11:20:37, modifcationDate: 2013-12-13 11:20:37, author: sho, size: 77352;creationDate: 2024-10-28 12:00:27, modifcationDate: 2024-11-13 08:27:29, author: Landis AG, size: 196401;False;https://oerebdocs.zh.ch/getDoc?docid=6883;True
ZH;66;Opfikon;20240511;https://oerebdocs.zh.ch/getDoc?docid=4026;True;True;True;True;True;creationDate: 2022-07-04 08:28:42, modifcationDate: 2022-07-04 08:28:42, author: None, size: 34729069;creationDate: 2022-07-04 08:28:42, modifcationDate: 2022-07-04 08:28:42, author: None, size: 34729069;True;https://oerebdocs.zh.ch/getDoc?docid=4026;True
ZH;67;Rafz;20240511;https://oerebdocs.zh.ch/getDoc?docid=11606;True;True;True;True;True;creationDate: 2023-09-29 07:51:34, modifcationDate: 2023-10-24 06:03:07, author: None, size: 211115;creationDate: 2023-09-29 07:51:34, modifcationDate: 2023-10-24 06:03:07, author: None, size: 211115;True;https://oerebdocs.zh.ch/getDoc?docid=11606;True
ZH;68;Rorbas;20240511;https://oerebdocs.zh.ch/getDoc?docid=8226;True;True;True;True;True;creationDate: 2017-12-11 09:19:33, modifcationDate: 2018-01-24 07:52:39, author: bau1, size: 89521;creationDate: 2017-12-11 09:19:33, modifcationDate: 2018-01-24 07:52:39, author: bau1, size: 89521;True;https://oerebdocs.zh.ch/getDoc?docid=8226;True
