GDEKT;GDENR;GDENAME;Version;Link_Dok_RIS;Link_Dok_Present;downloadedPdfDocumentValid;MunicipalityExists;LinkValid;MetaDataDateEqual;MetaDataOriginal;MetaDataDownloadedFile;HashEqual;CrawledLink;CrawledLinkSameAsRISLink;;;
ZH;81;Bachs;;https://oerebdocs.zh.ch/getDoc?docid=10953;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=10953;True;;;
ZH;82;Boppelsen;;https://oerebdocs.zh.ch/getDoc?docid=5058;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=5058;True;;;
ZH;83;Buchs (ZH);;https://oerebdocs.zh.ch/getDoc?docid=8897;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=8897;True;;;
ZH;84;Dällikon;;https://oerebdocs.zh.ch/getDoc?docid=6865;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=6865;True;;;
ZH;85;Dänikon;;https://epublikation.ch/api/v1/publications/40d46b2d-a7c3-43ed-9393-13987914df99/attachments/471553f5-6d8a-49f2-b24b-62146b7a1779?downloadType=FILE&dispositionType=INLINE;True;True;True;True;False;None;None;False;;False;;;
ZH;86;Dielsdorf;;https://oerebdocs.zh.ch/getDoc?docid=6832;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=6832;True;;;
ZH;87;Hüttikon;;https://oerebdocs.zh.ch/getDoc?docid=8718;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=8718;True;;;
ZH;88;Neerach;;https://oerebdocs.zh.ch/getDoc?docid=10957;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=10957;True;;;
ZH;89;Niederglatt;;https://oerebdocs.zh.ch/getDoc?docid=6831;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=6831;True;;;
ZH;90;Niederhasli;;https://oerebdocs.zh.ch/getDoc?docid=8719;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=8719;True;;;
ZH;91;Niederweningen;;https://oerebdocs.zh.ch/getDoc?docid=10956;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=10956;True;;;
ZH;92;Oberglatt;;https://oerebdocs.zh.ch/getDoc?docid=6866;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=6866;True;;;
ZH;93;Oberweningen;;https://oerebdocs.zh.ch/getDoc?docid=9944;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=9944;True;;;
ZH;94;Otelfingen;;https://epublikation.ch/api/v1/publications/d199381d-c455-4418-9265-572f05171072/attachments/53849e1f-5e97-4090-800b-b9a6fbda77e6?downloadType=FILE&dispositionType=INLINE;True;True;True;True;False;None;None;False;;False;;;
ZH;95;Regensberg;;https://oerebdocs.zh.ch/getDoc?docid=6835;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=6835;True;;;
ZH;96;Regensdorf;;https://oerebdocs.zh.ch/getDoc?docid=950;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=950;True;;;
ZH;97;Rümlang;;https://oerebdocs.zh.ch/getDoc?docid=120;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=120;True;;;
ZH;98;Schleinikon;;https://oerebdocs.zh.ch/getDoc?docid=11875;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=11875;True;;;
ZH;99;Schöfflisdorf;;https://oerebdocs.zh.ch/getDoc?docid=11650;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=11650;True;;;
ZH;100;Stadel;;https://oerebdocs.zh.ch/getDoc?docid=8934;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=8934;True;;;
ZH;101;Steinmaur;;https://oerebdocs.zh.ch/getDoc?docid=11847;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=11847;True;;;
ZH;102;Weiach;;https://oerebdocs.zh.ch/getDoc?docid=11877;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=11877;True;;;
ZH;111;Bäretswil;;https://oerebdocs.zh.ch/getDoc?docid=12294;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=12294;True;;;
ZH;112;Bubikon;;https://oerebdocs.zh.ch/getDoc?docid=4794;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=4794;True;;;
ZH;113;Dürnten;;https://oerebdocs.zh.ch/getDoc?docid=6387;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=6387;True;;;
ZH;114;Fischenthal;;https://oerebdocs.zh.ch/getDoc?docid=12395;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=12395;True;;;
ZH;115;Gossau (ZH);;https://oerebdocs.zh.ch/getDoc?docid=6888;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=6888;True;;;
ZH;116;Grüningen;;https://oerebdocs.zh.ch/getDoc?docid=7582;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=7582;True;;;
ZH;117;Hinwil;;https://oerebdocs.zh.ch/getDoc?docid=6441;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=6441;True;;;
ZH;118;Rüti (ZH);;https://oerebdocs.zh.ch/getDoc?docid=6381;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=6381;True;;;
ZH;119;Seegräben;;https://oerebdocs.zh.ch/getDoc?docid=6110;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=6110;True;;;
ZH;120;Wald (ZH);;https://oerebdocs.zh.ch/getDoc?docid=12825;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=12825;True;;;
ZH;121;Wetzikon (ZH);;https://oerebdocs.zh.ch/getDoc?docid=8898;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=8898;True;;;
ZH;131;Adliswil;;https://oerebdocs.zh.ch/getDoc?docid=7535;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=7535;True;;;
ZH;135;Kilchberg (ZH);;https://oerebdocs.zh.ch/getDoc?docid=1184;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=1184;True;;;
ZH;136;Langnau am Albis;;https://oerebdocs.zh.ch/getDoc?docid=5501;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=5501;True;;;
ZH;137;Oberrieden;;https://oerebdocs.zh.ch/getDoc?docid=1253;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=1253;True;;;
